Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
2.0,2,1,3.0,7.0,1,1,0,0,1,0,0,0,0,1,0,1,0
5.0,3,3,5.0,6.0,1,0,0,0,0,0,1,1,0,0,0,1,0
3.0,1,3,3.0,7.0,2,1,0,0,0,0,1,0,0,1,0,1,0
3.0,2,3,3.6,2.0,3,0,0,0,0,0,1,0,0,1,0,0,1
4.0,1,2,6.0,7.0,2,1,0,0,0,1,0,1,0,0,1,0,0
4.0,5,2,3.0,7.0,1,1,0,1,0,0,0,0,0,1,0,1,0
6.0,3,3,4.0,9.0,1,1,1,0,0,0,0,0,0,1,0,1,0
5.0,2,2,3.0,7.0,3,1,0,0,0,0,1,1,0,0,0,1,0
4.0,1,3,4.0,3.0,3,0,0,0,0,0,1,0,0,1,0,1,0
5.0,4,3,3.0,7.0,3,0,0,0,1,0,0,0,0,1,0,1,0
5.0,4,3,10.0,34.0,1,1,0,1,0,0,0,0,0,1,0,0,1
4.0,1,2,3.6,3.0,3,0,0,0,0,0,1,0,0,1,0,1,0
4.0,2,3,3.6,7.0,1,1,0,0,0,0,1,0,0,1,1,0,0
3.0,4,3,5.0,7.0,3,1,0,0,1,0,0,0,1,0,0,0,1
4.0,3,2,3.0,7.0,2,0,0,0,0,0,1,0,0,1,0,1,0
5.0,5,2,3.0,7.0,3,1,0,1,0,0,0,0,0,1,1,0,0
5.0,1,2,3.6,7.0,2,0,0,1,0,0,0,1,0,0,0,1,0
4.0,1,3,2.0,2.0,3,0,0,1,0,0,0,0,0,1,0,1,0
5.0,2,1,3.0,7.0,2,1,1,0,0,0,0,1,0,0,0,1,0
3.0,4,3,3.0,1.0,2,1,0,0,1,0,0,1,0,0,0,1,0
5.0,5,1,2.0,53.0,1,1,0,0,1,0,0,0,0,1,0,0,1
4.0,3,3,2.0,7.0,3,0,0,0,1,0,0,1,0,0,0,1,0
3.0,5,2,3.6,7.0,2,0,0,0,0,0,1,0,0,1,0,1,0
4.0,2,3,2.0,7.0,1,1,0,0,1,0,0,0,0,1,0,1,0
4.0,3,1,2.0,7.0,3,1,1,0,0,0,0,1,0,0,0,1,0
